ball,row,col,x_mm,y_mm,kind,interface,signal,escape_edge,escape_depth
A1,0,0,-10.800,10.800,signal,lpddr_ch0,DQ0,,
A2,0,1,-10.000,10.800,signal,lpddr_ch0,DQ1,,
A3,0,2,-9.200,10.800,signal,lpddr_ch0,DQ2,,
A4,0,3,-8.400,10.800,signal,lpddr_ch0,DQ3,,
A5,0,4,-7.600,10.800,signal,lpddr_ch0,DQ4,,
A6,0,5,-6.800,10.800,signal,lpddr_ch0,DQ5,,
A7,0,6,-6.000,10.800,signal,lpddr_ch0,DQ6,,
A8,0,7,-5.200,10.800,signal,lpddr_ch0,DQ7,,
A9,0,8,-4.400,10.800,signal,lpddr_ch0,DQS0_P,,
A10,0,9,-3.600,10.800,signal,lpddr_ch0,DQS0_N,,
A11,0,10,-2.800,10.800,signal,lpddr_ch0,DMI0,,
A12,0,11,-2.000,10.800,ground,GND,,,
A13,0,12,-1.200,10.800,signal,lpddr_ch0,DQ8,,
A14,0,13,-0.400,10.800,signal,lpddr_ch0,DQ9,,
A15,0,14,0.400,10.800,signal,lpddr_ch0,DQ10,,
A16,0,15,1.200,10.800,signal,lpddr_ch0,DQ11,,
A17,0,16,2.000,10.800,signal,lpddr_ch0,DQ12,,
A18,0,17,2.800,10.800,signal,lpddr_ch0,DQ13,,
A19,0,18,3.600,10.800,signal,lpddr_ch0,DQ14,,
A20,0,19,4.400,10.800,signal,lpddr_ch0,DQ15,,
A21,0,20,5.200,10.800,signal,lpddr_ch0,DQS1_P,,
A22,0,21,6.000,10.800,signal,lpddr_ch0,DQS1_N,,
A23,0,22,6.800,10.800,signal,lpddr_ch0,DMI1,,
A24,0,23,7.600,10.800,ground,GND,,,
A25,0,24,8.400,10.800,signal,lpddr_ch0,DQ16,,
A26,0,25,9.200,10.800,signal,lpddr_ch0,DQ17,,
A27,0,26,10.000,10.800,signal,lpddr_ch0,DQ18,,
A28,0,27,10.800,10.800,signal,lpddr_ch0,DQ19,,
B1,1,0,-10.800,10.000,signal,lpddr_ch0,DQ20,,
B2,1,1,-10.000,10.000,signal,lpddr_ch0,DQ21,,
B3,1,2,-9.200,10.000,signal,lpddr_ch0,DQ22,,
B4,1,3,-8.400,10.000,signal,lpddr_ch0,DQ23,,
B5,1,4,-7.600,10.000,signal,lpddr_ch0,DQS2_P,,
B6,1,5,-6.800,10.000,signal,lpddr_ch0,DQS2_N,,
B7,1,6,-6.000,10.000,signal,lpddr_ch0,DMI2,,
B8,1,7,-5.200,10.000,ground,GND,,,
B9,1,8,-4.400,10.000,signal,lpddr_ch0,DQ24,,
B10,1,9,-3.600,10.000,signal,lpddr_ch0,DQ25,,
B11,1,10,-2.800,10.000,signal,lpddr_ch0,DQ26,,
B12,1,11,-2.000,10.000,signal,lpddr_ch0,DQ27,,
B13,1,12,-1.200,10.000,signal,lpddr_ch0,DQ28,,
B14,1,13,-0.400,10.000,signal,lpddr_ch0,DQ29,,
B15,1,14,0.400,10.000,signal,lpddr_ch0,DQ30,,
B16,1,15,1.200,10.000,signal,lpddr_ch0,DQ31,,
B17,1,16,2.000,10.000,signal,lpddr_ch0,DQS3_P,,
B18,1,17,2.800,10.000,signal,lpddr_ch0,DQS3_N,,
B19,1,18,3.600,10.000,signal,lpddr_ch0,DMI3,,
B20,1,19,4.400,10.000,ground,GND,,,
B21,1,20,5.200,10.000,signal,lpddr_ch0,CA0,,
B22,1,21,6.000,10.000,signal,lpddr_ch0,CA1,,
B23,1,22,6.800,10.000,signal,lpddr_ch0,CA2,,
B24,1,23,7.600,10.000,signal,lpddr_ch0,CA3,,
B25,1,24,8.400,10.000,signal,lpddr_ch0,CA4,,
B26,1,25,9.200,10.000,signal,lpddr_ch0,CA5,,
B27,1,26,10.000,10.000,signal,lpddr_ch0,CA6,,
B28,1,27,10.800,10.000,signal,lpddr_ch0,CA7,,
C1,2,0,-10.800,9.200,signal,lpddr_ch0,CA8,,
C2,2,1,-10.000,9.200,signal,lpddr_ch0,CA9,,
C3,2,2,-9.200,9.200,signal,lpddr_ch0,CA10,,
C4,2,3,-8.400,9.200,signal,lpddr_ch0,CA11,,
C5,2,4,-7.600,9.200,signal,lpddr_ch0,CA12,,
C6,2,5,-6.800,9.200,signal,lpddr_ch0,CA13,,
C7,2,6,-6.000,9.200,signal,lpddr_ch0,CS0,,
C8,2,7,-5.200,9.200,signal,lpddr_ch0,CS1,,
C9,2,8,-4.400,9.200,signal,lpddr_ch0,CK0_P,,
C10,2,9,-3.600,9.200,signal,lpddr_ch0,CK0_N,,
C11,2,10,-2.800,9.200,signal,lpddr_ch0,CK1_P,,
C12,2,11,-2.000,9.200,signal,lpddr_ch0,CK1_N,,
C13,2,12,-1.200,9.200,signal,lpddr_ch0,RESET,,
C14,2,13,-0.400,9.200,ground,GND,,,
C15,2,14,0.400,9.200,signal,lpddr_ch1,DQ0,,
C16,2,15,1.200,9.200,signal,lpddr_ch1,DQ1,,
C17,2,16,2.000,9.200,signal,lpddr_ch1,DQ2,,
C18,2,17,2.800,9.200,signal,lpddr_ch1,DQ3,,
C19,2,18,3.600,9.200,signal,lpddr_ch1,DQ4,,
C20,2,19,4.400,9.200,signal,lpddr_ch1,DQ5,,
C21,2,20,5.200,9.200,signal,lpddr_ch1,DQ6,,
C22,2,21,6.000,9.200,signal,lpddr_ch1,DQ7,,
C23,2,22,6.800,9.200,signal,lpddr_ch1,DQS0_P,,
C24,2,23,7.600,9.200,signal,lpddr_ch1,DQS0_N,,
C25,2,24,8.400,9.200,signal,lpddr_ch1,DMI0,,
C26,2,25,9.200,9.200,ground,GND,,,
C27,2,26,10.000,9.200,signal,lpddr_ch1,DQ8,,
C28,2,27,10.800,9.200,signal,lpddr_ch1,DQ9,,
D1,3,0,-10.800,8.400,signal,lpddr_ch1,DQ10,,
D2,3,1,-10.000,8.400,signal,lpddr_ch1,DQ11,,
D3,3,2,-9.200,8.400,signal,lpddr_ch1,DQ12,,
D4,3,3,-8.400,8.400,signal,lpddr_ch1,DQ13,,
D5,3,4,-7.600,8.400,signal,lpddr_ch1,DQ14,,
D6,3,5,-6.800,8.400,signal,lpddr_ch1,DQ15,,
D7,3,6,-6.000,8.400,signal,lpddr_ch1,DQS1_P,,
D8,3,7,-5.200,8.400,signal,lpddr_ch1,DQS1_N,,
D9,3,8,-4.400,8.400,signal,lpddr_ch1,DMI1,,
D10,3,9,-3.600,8.400,ground,GND,,,
D11,3,10,-2.800,8.400,signal,lpddr_ch1,DQ16,,
D12,3,11,-2.000,8.400,signal,lpddr_ch1,DQ17,,
D13,3,12,-1.200,8.400,signal,lpddr_ch1,DQ18,,
D14,3,13,-0.400,8.400,signal,lpddr_ch1,DQ19,,
D15,3,14,0.400,8.400,signal,lpddr_ch1,DQ20,,
D16,3,15,1.200,8.400,signal,lpddr_ch1,DQ21,,
D17,3,16,2.000,8.400,signal,lpddr_ch1,DQ22,,
D18,3,17,2.800,8.400,signal,lpddr_ch1,DQ23,,
D19,3,18,3.600,8.400,signal,lpddr_ch1,DQS2_P,,
D20,3,19,4.400,8.400,signal,lpddr_ch1,DQS2_N,,
