ball,row,col,x_mm,y_mm,kind,interface,signal,escape_edge,escape_depth
A1,0,0,-27.000,27.000,ground,GND,,,
A2,0,1,-26.000,27.000,rail,VDD_CORE,,,
A3,0,2,-25.000,27.000,ground,GND,,,
A4,0,3,-24.000,27.000,rail,VDD_CORE,,,
A5,0,4,-23.000,27.000,ground,GND,,,
A6,0,5,-22.000,27.000,rail,VDD_IO_1V8,,,
A7,0,6,-21.000,27.000,ground,GND,,,
A8,0,7,-20.000,27.000,rail,VDD_CORE,,,
A9,0,8,-19.000,27.000,ground,GND,,,
A10,0,9,-18.000,27.000,rail,VDD_CORE,,,
A11,0,10,-17.000,27.000,ground,GND,,,
A12,0,11,-16.000,27.000,rail,VDD_CORE,,,
A13,0,12,-15.000,27.000,ground,GND,,,
A14,0,13,-14.000,27.000,rail,VDD_CORE,,,
A15,0,14,-13.000,27.000,ground,GND,,,
A16,0,15,-12.000,27.000,rail,VDD_IO_1V8,,,
A17,0,16,-11.000,27.000,ground,GND,,,
A18,0,17,-10.000,27.000,rail,VDD_CORE,,,
A19,0,18,-9.000,27.000,ground,GND,,,
A20,0,19,-8.000,27.000,rail,VDD_CORE,,,
A21,0,20,-7.000,27.000,ground,GND,,,
A22,0,21,-6.000,27.000,rail,VDD_CORE,,,
A23,0,22,-5.000,27.000,ground,GND,,,
A24,0,23,-4.000,27.000,rail,VDD_CORE,,,
A25,0,24,-3.000,27.000,ground,GND,,,
A26,0,25,-2.000,27.000,rail,VDD_IO_1V8,,,
A27,0,26,-1.000,27.000,ground,GND,,,
A28,0,27,0.000,27.000,rail,VDD_CORE,,,
A29,0,28,1.000,27.000,ground,GND,,,
A30,0,29,2.000,27.000,rail,VDD_CORE,,,
A31,0,30,3.000,27.000,ground,GND,,,
A32,0,31,4.000,27.000,rail,VDD_CORE,,,
A33,0,32,5.000,27.000,ground,GND,,,
A34,0,33,6.000,27.000,rail,VDD_CORE,,,
A35,0,34,7.000,27.000,ground,GND,,,
A36,0,35,8.000,27.000,rail,VDD_IO_1V8,,,
A37,0,36,9.000,27.000,ground,GND,,,
A38,0,37,10.000,27.000,rail,VDD_CORE,,,
A39,0,38,11.000,27.000,ground,GND,,,
A40,0,39,12.000,27.000,rail,VDD_CORE,,,
A41,0,40,13.000,27.000,ground,GND,,,
A42,0,41,14.000,27.000,rail,VDD_CORE,,,
A43,0,42,15.000,27.000,ground,GND,,,
A44,0,43,16.000,27.000,rail,VDD_CORE,,,
A45,0,44,17.000,27.000,ground,GND,,,
A46,0,45,18.000,27.000,rail,VDD_IO_1V8,,,
A47,0,46,19.000,27.000,ground,GND,,,
A48,0,47,20.000,27.000,rail,VDD_CORE,,,
A49,0,48,21.000,27.000,ground,GND,,,
A50,0,49,22.000,27.000,rail,VDD_CORE,,,
A51,0,50,23.000,27.000,ground,GND,,,
A52,0,51,24.000,27.000,rail,VDD_CORE,,,
A53,0,52,25.000,27.000,ground,GND,,,
A54,0,53,26.000,27.000,rail,VDD_CORE,,,
A55,0,54,27.000,27.000,ground,GND,,,
B1,1,0,-27.000,26.000,rail,VDD_CORE,,,
B2,1,1,-26.000,26.000,ground,GND,,,
B3,1,2,-25.000,26.000,rail,VDD_CORE,,,
B4,1,3,-24.000,26.000,ground,GND,,,
B5,1,4,-23.000,26.000,rail,VDD_CORE,,,
