ball,row,col,x_mm,y_mm,kind,interface,signal,escape_edge,escape_depth
A1,0,0,-10.800,10.800,signal,psram_0,DQ0,,
A2,0,1,-10.000,10.800,signal,psram_0,DQ5,,
A3,0,2,-9.200,10.800,signal,psram_0,DQ10,,
A4,0,3,-8.400,10.800,signal,psram_0,DQ15,,
A5,0,4,-7.600,10.800,signal,psram_1,DQ0,,
A6,0,5,-6.800,10.800,signal,psram_1,DQ5,,
A7,0,6,-6.000,10.800,signal,psram_1,DQ10,,
A8,0,7,-5.200,10.800,signal,psram_1,DQ15,,
A9,0,8,-4.400,10.800,signal,psram_10,DQ0,,
A10,0,9,-3.600,10.800,signal,psram_10,DQ5,,
A11,0,10,-2.800,10.800,signal,psram_10,DQ10,,
A12,0,11,-2.000,10.800,signal,psram_10,DQ15,,
A13,0,12,-1.200,10.800,signal,psram_11,DQ0,,
A14,0,13,-0.400,10.800,signal,psram_11,DQ5,,
A15,0,14,0.400,10.800,signal,psram_11,DQ10,,
A16,0,15,1.200,10.800,signal,psram_11,DQ15,,
A17,0,16,2.000,10.800,signal,psram_12,DQ0,,
A18,0,17,2.800,10.800,signal,psram_12,DQ5,,
A19,0,18,3.600,10.800,signal,psram_12,DQ10,,
A20,0,19,4.400,10.800,signal,psram_12,DQ15,,
A21,0,20,5.200,10.800,signal,psram_13,DQ0,,
A22,0,21,6.000,10.800,signal,psram_13,DQ5,,
A23,0,22,6.800,10.800,signal,psram_13,DQ10,,
A24,0,23,7.600,10.800,signal,psram_13,DQ15,,
A25,0,24,8.400,10.800,signal,psram_14,DQ0,,
A26,0,25,9.200,10.800,signal,psram_14,DQ5,,
A27,0,26,10.000,10.800,signal,psram_14,DQ10,,
A28,0,27,10.800,10.800,signal,psram_14,DQ15,,
B1,1,0,-10.800,10.000,signal,psram_0,DQ1,,
B2,1,1,-10.000,10.000,signal,psram_0,DQ6,,
B3,1,2,-9.200,10.000,signal,psram_0,DQ11,,
B4,1,3,-8.400,10.000,signal,psram_0,RWDS0,,
B5,1,4,-7.600,10.000,signal,psram_1,DQ1,,
B6,1,5,-6.800,10.000,signal,psram_1,DQ6,,
B7,1,6,-6.000,10.000,signal,psram_1,DQ11,,
B8,1,7,-5.200,10.000,signal,psram_1,RWDS0,,
B9,1,8,-4.400,10.000,signal,psram_10,DQ1,,
B10,1,9,-3.600,10.000,signal,psram_10,DQ6,,
B11,1,10,-2.800,10.000,signal,psram_10,DQ11,,
B12,1,11,-2.000,10.000,signal,psram_10,RWDS0,,
B13,1,12,-1.200,10.000,signal,psram_11,DQ1,,
B14,1,13,-0.400,10.000,signal,psram_11,DQ6,,
B15,1,14,0.400,10.000,signal,psram_11,DQ11,,
B16,1,15,1.200,10.000,signal,psram_11,RWDS0,,
B17,1,16,2.000,10.000,signal,psram_12,DQ1,,
B18,1,17,2.800,10.000,signal,psram_12,DQ6,,
B19,1,18,3.600,10.000,signal,psram_12,DQ11,,
B20,1,19,4.400,10.000,signal,psram_12,RWDS0,,
B21,1,20,5.200,10.000,signal,psram_13,DQ1,,
B22,1,21,6.000,10.000,signal,psram_13,DQ6,,
B23,1,22,6.800,10.000,signal,psram_13,DQ11,,
B24,1,23,7.600,10.000,signal,psram_13,RWDS0,,
B25,1,24,8.400,10.000,signal,psram_14,DQ1,,
B26,1,25,9.200,10.000,signal,psram_14,DQ6,,
B27,1,26,10.000,10.000,signal,psram_14,DQ11,,
B28,1,27,10.800,10.000,signal,psram_14,RWDS0,,
C1,2,0,-10.800,9.200,signal,psram_0,DQ2,,
C2,2,1,-10.000,9.200,signal,psram_0,DQ7,,
C3,2,2,-9.200,9.200,signal,psram_0,DQ12,,
C4,2,3,-8.400,9.200,signal,psram_0,RWDS1,,
C5,2,4,-7.600,9.200,signal,psram_1,DQ2,,
C6,2,5,-6.800,9.200,signal,psram_1,DQ7,,
C7,2,6,-6.000,9.200,signal,psram_1,DQ12,,
C8,2,7,-5.200,9.200,signal,psram_1,RWDS1,,
C9,2,8,-4.400,9.200,signal,psram_10,DQ2,,
C10,2,9,-3.600,9.200,signal,psram_10,DQ7,,
C11,2,10,-2.800,9.200,signal,psram_10,DQ12,,
C12,2,11,-2.000,9.200,signal,psram_10,RWDS1,,
C13,2,12,-1.200,9.200,signal,psram_11,DQ2,,
C14,2,13,-0.400,9.200,signal,psram_11,DQ7,,
C15,2,14,0.400,9.200,signal,psram_11,DQ12,,
C16,2,15,1.200,9.200,signal,psram_11,RWDS1,,
C17,2,16,2.000,9.200,signal,psram_12,DQ2,,
C18,2,17,2.800,9.200,signal,psram_12,DQ7,,
C19,2,18,3.600,9.200,signal,psram_12,DQ12,,
C20,2,19,4.400,9.200,signal,psram_12,RWDS1,,
C21,2,20,5.200,9.200,signal,psram_13,DQ2,,
C22,2,21,6.000,9.200,signal,psram_13,DQ7,,
C23,2,22,6.800,9.200,signal,psram_13,DQ12,,
C24,2,23,7.600,9.200,signal,psram_13,RWDS1,,
C25,2,24,8.400,9.200,signal,psram_14,DQ2,,
C26,2,25,9.200,9.200,signal,psram_14,DQ7,,
C27,2,26,10.000,9.200,signal,psram_14,DQ12,,
C28,2,27,10.800,9.200,signal,psram_14,RWDS1,,
D1,3,0,-10.800,8.400,signal,psram_0,DQ3,,
D2,3,1,-10.000,8.400,signal,psram_0,DQ8,,
D3,3,2,-9.200,8.400,signal,psram_0,DQ13,,
D4,3,3,-8.400,8.400,signal,psram_0,CS,,
D5,3,4,-7.600,8.400,signal,psram_1,DQ3,,
D6,3,5,-6.800,8.400,signal,psram_1,DQ8,,
D7,3,6,-6.000,8.400,signal,psram_1,DQ13,,
D8,3,7,-5.200,8.400,signal,psram_1,CS,,
D9,3,8,-4.400,8.400,signal,psram_10,DQ3,,
D10,3,9,-3.600,8.400,signal,psram_10,DQ8,,
D11,3,10,-2.800,8.400,signal,psram_10,DQ13,,
D12,3,11,-2.000,8.400,signal,psram_10,CS,,
D13,3,12,-1.200,8.400,signal,psram_11,DQ3,,
D14,3,13,-0.400,8.400,signal,psram_11,DQ8,,
D15,3,14,0.400,8.400,signal,psram_11,DQ13,,
D16,3,15,1.200,8.400,signal,psram_11,CS,,
D17,3,16,2.000,8.400,signal,psram_12,DQ3,,
D18,3,17,2.800,8.400,signal,psram_12,DQ8,,
D19,3,18,3.600,8.400,signal,psram_12,DQ13,,
D20,3,19,4.400,8.400,signal,psram_12,CS,,
D21,3,20,5.200,8.400,signal,psram_13,DQ3,,
D22,3,21,6.000,8.400,signal,psram_13,DQ8,,
D23,3,22,6.800,8.400,signal,psram_13,DQ13,,
D24,3,23,7.600,8.400,signal,psram_13,CS,,
D25,3,24,8.400,8.400,signal,psram_14,DQ3,,
D26,3,25,9.200,8.400,signal,psram_14,DQ8,,
D27,3,26,10.000,8.400,signal,psram_14,DQ13,,
D28,3,27,10.800,8.400,signal,psram_14,CS,,
E1,4,0,-10.800,7.600,signal,psram_0,DQ4,,
E2,4,1,-10.000,7.600,signal,psram_0,DQ9,,
E3,4,2,-9.200,7.600,signal,psram_0,DQ14,,
E4,4,3,-8.400,7.600,ground,GND,,,
E5,4,4,-7.600,7.600,signal,psram_1,DQ4,,
E6,4,5,-6.800,7.600,signal,psram_1,DQ9,,
E7,4,6,-6.000,7.600,signal,psram_1,DQ14,,
E8,4,7,-5.200,7.600,ground,GND,,,
E9,4,8,-4.400,7.600,signal,psram_10,DQ4,,
E10,4,9,-3.600,7.600,signal,psram_10,DQ9,,
E11,4,10,-2.800,7.600,signal,psram_10,DQ14,,
E12,4,11,-2.000,7.600,ground,GND,,,
E13,4,12,-1.200,7.600,signal,psram_11,DQ4,,
E14,4,13,-0.400,7.600,signal,psram_11,DQ9,,
E15,4,14,0.400,7.600,signal,psram_11,DQ14,,
E16,4,15,1.200,7.600,ground,GND,,,
E17,4,16,2.000,7.600,signal,psram_12,DQ4,,
E18,4,17,2.800,7.600,signal,psram_12,DQ9,,
E19,4,18,3.600,7.600,signal,psram_12,DQ14,,
E20,4,19,4.400,7.600,ground,GND,,,
E21,4,20,5.200,7.600,signal,psram_13,DQ4,,
E22,4,21,6.000,7.600,signal,psram_13,DQ9,,
E23,4,22,6.800,7.600,signal,psram_13,DQ14,,
E24,4,23,7.600,7.600,ground,GND,,,
E25,4,24,8.400,7.600,signal,psram_14,DQ4,,
E26,4,25,9.200,7.600,signal,psram_14,DQ9,,
E27,4,26,10.000,7.600,signal,psram_14,DQ14,,
E28,4,27,10.800,7.600,ground,GND,,,
F1,5,0,-10.800,6.800,signal,psram_5,DQ10,,
F2,5,1,-10.000,6.800,signal,psram_5,DQ11,,
F3,5,2,-9.200,6.800,signal,psram_5,DQ12,,
F4,5,3,-8.400,6.800,signal,psram_5,DQ13,,
F5,5,4,-7.600,6.800,signal,psram_5,DQ14,,
F6,5,5,-6.800,6.800,ground,GND,,,
F7,5,6,-6.000,6.800,rail,VDD_CORE,,,
F8,5,7,-5.200,6.800,ground,GND,,,
F9,5,8,-4.400,6.800,rail,VDD_CORE,,,
F10,5,9,-3.600,6.800,ground,GND,,,
F11,5,10,-2.800,6.800,rail,VDD_IO_1V8,,,
F12,5,11,-2.000,6.800,ground,GND,,,
F13,5,12,-1.200,6.800,rail,VDD_CORE,,,
F14,5,13,-0.400,6.800,ground,GND,,,
F15,5,14,0.400,6.800,rail,VDD_CORE,,,
F16,5,15,1.200,6.800,ground,GND,,,
